"county","total_new_cases","month","year","hospitalizations","vaccinations"
"Hays County",414,"March",2023,71,749602
"Hemphill County",21,"March",2023,7,8026
"Henderson County",159,"March",2023,345,164374
"Hidalgo County",1487,"March",2023,357,3478693
"Hill County",99,"March",2023,75,77295
"Hockley County",41,"March",2023,143,49345
"Hood County",57,"March",2023,1222,149750
"Hopkins County",69,"March",2023,1592,73971
"Houston County",49,"March",2023,5,48539
"Howard County",70,"March",2023,0,70882
"Hudspeth County",2,"March",2023,381,16739
"Hunt County",142,"March",2023,1592,216247
"Hutchinson County",46,"March",2023,145,37382
"Irion County",1,"March",2023,55,11282
"Jack County",6,"March",2023,0,18415
"Jackson County",15,"March",2023,55,33437
"Jasper County",76,"March",2023,93,65683
"Jeff Davis County",3,"March",2023,0,5846
"Jefferson County",413,"March",2023,93,656133
"Jim Hogg County",25,"March",2023,62,15359
"Jim Wells County",57,"March",2023,374,111863
"Johnson County",351,"March",2023,1222,415621
"Jones County",36,"March",2023,44,44069
"Karnes County",19,"March",2023,2,43887
"Kaufman County",364,"March",2023,1592,368903
"Kendall County",40,"March",2023,1015,150134
"Kenedy County",2,"March",2023,374,1062
"Kent County",1,"March",2023,44,1515
"Kerr County",103,"March",2023,26,137979
"Kimble County",6,"March",2023,26,9341
"King County",0,"March",2023,143,297
"Kinney County",19,"March",2023,14,9827
"Kleberg County",72,"March",2023,374,95741
"Knox County",1,"March",2023,75,7258
"Lamar County",22,"March",2023,7,100138
"Lamb County",98,"March",2023,143,28293
"Lampasas County",23,"March",2023,147,49947
"La Salle County",3,"March",2023,1015,23944
"Lavaca County",33,"March",2023,55,42761
"Lee County",38,"March",2023,431,40852
"Leon County",20,"March",2023,0,32358
"Liberty County",123,"March",2023,3810,191963
"Limestone County",27,"March",2023,75,44650
"Lipscomb County",2,"March",2023,14,5606
"Live Oak County",5,"March",2023,374,26593
"Llano County",28,"March",2023,431,56602
"Loving County",4,"March",2023,381,160
"Lubbock County",839,"March",2023,143,775903
"Lynn County",3,"March",2023,143,11920
"McCulloch County",39,"March",2023,55,15321
"McLennan County",432,"March",2023,75,680281
"McMullen County",1,"March",2023,1015,1658
"Madison County",30,"March",2023,0,29963
"Marion County",14,"March",2023,0,20036
"Martin County",7,"March",2023,24,9381
"Mason County",6,"March",2023,26,10113
"Matagorda County",100,"March",2023,27,86788
"Maverick County",66,"March",2023,14,303913
"Medina County",32,"March",2023,1015,146413
"Menard County",4,"March",2023,55,5661
"Midland County",334,"March",2023,24,390658
"Milam County",29,"March",2023,147,56795
"Mills County",8,"March",2023,8,10616
"Mitchell County",15,"March",2023,2,15497
"Montague County",48,"March",2023,75,35158
"Montgomery County",916,"March",2023,3810,1735017
"Moore County",28,"March",2023,145,49995
"Morris County",34,"March",2023,13,27065
"Motley County",1,"March",2023,143,1697
"Nacogdoches County",214,"March",2023,32,152123
"Navarro County",92,"March",2023,0,115441
